circuit_index,noisy_counts,ideal_counts
0,"{""00"": 972, ""10"": 11, ""01"": 14, ""11"": 3}","{""00"": 993, ""01"": 7}"
1,"{""00"": 986, ""10"": 9, ""01"": 2, ""11"": 3}","{""00"": 1000}"
2,"{""1000"": 769, ""0011"": 3, ""0000"": 95, ""1011"": 22, ""1010"": 28, ""1001"": 8, ""1100"": 48, ""1111"": 5, ""0100"": 12, ""0001"": 4, ""1110"": 4, ""1101"": 1, ""0010"": 1}","{""0000"": 90, ""1000"": 910}"
3,"{""111"": 317, ""000"": 625, ""100"": 7, ""010"": 11, ""011"": 6, ""001"": 17, ""110"": 12, ""101"": 5}","{""000"": 674, ""111"": 326}"
4,"{""000"": 980, ""001"": 4, ""100"": 8, ""010"": 8}","{""000"": 1000}"
5,"{""000"": 855, ""010"": 104, ""100"": 20, ""101"": 4, ""011"": 3, ""001"": 13, ""110"": 1}","{""000"": 932, ""010"": 68}"
6,"{""11"": 379, ""00"": 598, ""01"": 12, ""10"": 11}","{""00"": 583, ""11"": 417}"
7,"{""10"": 851, ""00"": 139, ""01"": 4, ""11"": 6}","{""10"": 892, ""00"": 108}"
8,"{""00000"": 878, ""00010"": 48, ""00001"": 6, ""10111"": 2, ""00110"": 4, ""10000"": 24, ""10001"": 5, ""00101"": 5, ""00111"": 7, ""01000"": 5, ""01010"": 1, ""10010"": 4, ""10101"": 4, ""00100"": 2, ""00011"": 4, ""10011"": 1}","{""00000"": 1000}"
9,"{""00"": 974, ""01"": 15, ""11"": 3, ""10"": 8}","{""00"": 1000}"
10,"{""01"": 487, ""00"": 507, ""10"": 5, ""11"": 1}","{""01"": 517, ""00"": 483}"
11,"{""10"": 480, ""00"": 505, ""11"": 4, ""01"": 11}","{""10"": 505, ""00"": 487, ""01"": 6, ""11"": 2}"
12,"{""010"": 298, ""011"": 677, ""000"": 9, ""001"": 11, ""111"": 4, ""110"": 1}","{""011"": 691, ""010"": 301, ""001"": 4, ""000"": 4}"
13,"{""001"": 34, ""000"": 880, ""011"": 7, ""010"": 39, ""110"": 6, ""100"": 14, ""111"": 15, ""101"": 5}","{""000"": 1000}"
14,"{""10"": 485, ""00"": 509, ""01"": 3, ""11"": 3}","{""10"": 468, ""00"": 532}"
15,"{""100"": 238, ""110"": 227, ""101"": 244, ""010"": 19, ""111"": 232, ""001"": 9, ""000"": 16, ""011"": 15}","{""111"": 272, ""100"": 239, ""110"": 236, ""101"": 253}"
16,"{""00010"": 433, ""10010"": 473, ""00110"": 20, ""01010"": 2, ""00011"": 4, ""10000"": 11, ""10011"": 6, ""10110"": 20, ""00001"": 4, ""00000"": 9, ""10001"": 6, ""10100"": 3, ""10111"": 2, ""00101"": 1, ""00100"": 4, ""00111"": 1, ""10101"": 1}","{""10010"": 514, ""00010"": 486}"
17,"{""000"": 985, ""100"": 4, ""110"": 1, ""010"": 9, ""001"": 1}","{""000"": 1000}"
18,"{""01000"": 16, ""10001"": 3, ""00000"": 885, ""00001"": 32, ""10101"": 2, ""00100"": 11, ""00010"": 14, ""01011"": 1, ""01001"": 1, ""10000"": 17, ""00101"": 10, ""01010"": 2, ""00011"": 1, ""10010"": 2, ""11000"": 3}","{""00000"": 1000}"
19,"{""1000"": 6, ""0000"": 938, ""0010"": 36, ""0001"": 10, ""0100"": 6, ""0110"": 3, ""0101"": 1}","{""0000"": 1000}"
20,"{""01"": 498, ""00"": 5, ""11"": 491, ""10"": 6}","{""11"": 523, ""01"": 477}"
21,"{""001"": 96, ""101"": 453, ""100"": 234, ""000"": 163, ""111"": 28, ""110"": 11, ""010"": 11, ""011"": 4}","{""101"": 446, ""000"": 173, ""111"": 21, ""001"": 91, ""100"": 241, ""110"": 13, ""011"": 8, ""010"": 7}"
22,"{""10001"": 276, ""00001"": 693, ""00011"": 13, ""10011"": 3, ""00101"": 1, ""00000"": 9, ""11001"": 1, ""10101"": 1, ""10000"": 2, ""01001"": 1}","{""00001"": 716, ""10001"": 284}"
23,"{""1000"": 22, ""0000"": 891, ""0100"": 19, ""1011"": 1, ""0010"": 19, ""0001"": 32, ""1001"": 2, ""1010"": 12, ""1110"": 1, ""1100"": 1}","{""0000"": 1000}"
24,"{""0010"": 483, ""0000"": 466, ""0011"": 7, ""1010"": 10, ""0110"": 9, ""1001"": 2, ""0111"": 2, ""1000"": 5, ""1011"": 7, ""0100"": 5, ""0001"": 3, ""0101"": 1}","{""0000"": 516, ""0010"": 484}"
25,"{""000"": 945, ""010"": 15, ""001"": 20, ""011"": 6, ""100"": 5, ""101"": 7, ""110"": 2}","{""000"": 1000}"
26,"{""001"": 861, ""000"": 71, ""101"": 40, ""011"": 13, ""100"": 6, ""110"": 3, ""010"": 4, ""111"": 2}","{""001"": 954, ""000"": 46}"
27,"{""0110"": 4, ""0001"": 49, ""1001"": 66, ""0000"": 258, ""1000"": 210, ""1100"": 158, ""0100"": 131, ""0101"": 43, ""1101"": 43, ""1110"": 11, ""0010"": 15, ""1111"": 2, ""1010"": 5, ""0011"": 3, ""1011"": 1, ""0111"": 1}","{""1001"": 72, ""0001"": 64, ""0000"": 247, ""1000"": 260, ""0101"": 33, ""1101"": 27, ""0100"": 155, ""1100"": 142}"
28,"{""00"": 987, ""01"": 11, ""10"": 2}","{""00"": 1000}"
29,"{""10"": 35, ""01"": 301, ""00"": 633, ""11"": 31}","{""01"": 317, ""00"": 605, ""11"": 34, ""10"": 44}"
30,"{""01000"": 18, ""00000"": 850, ""11000"": 8, ""00001"": 43, ""00010"": 36, ""00100"": 14, ""00011"": 3, ""00110"": 9, ""01001"": 2, ""00101"": 6, ""10010"": 1, ""00111"": 1, ""10000"": 7, ""10001"": 2}","{""00000"": 984, ""00101"": 13, ""00110"": 3}"
31,"{""00"": 916, ""01"": 77, ""10"": 7}","{""00"": 928, ""01"": 72}"
32,"{""0000"": 223, ""0001"": 211, ""1000"": 242, ""1001"": 245, ""1101"": 9, ""1011"": 7, ""0100"": 12, ""1110"": 1, ""0101"": 12, ""1010"": 11, ""0010"": 10, ""0111"": 2, ""0011"": 4, ""1111"": 1, ""1100"": 8, ""0110"": 2}","{""1000"": 231, ""0000"": 255, ""0001"": 264, ""1001"": 250}"
33,"{""0000"": 748, ""0100"": 144, ""1000"": 10, ""0001"": 30, ""0010"": 28, ""0110"": 11, ""1111"": 2, ""1100"": 3, ""1001"": 2, ""1101"": 2, ""1011"": 1, ""0111"": 2, ""0101"": 7, ""0011"": 8, ""1010"": 1, ""1110"": 1}","{""0100"": 126, ""0000"": 874}"
34,"{""1000"": 9, ""0000"": 853, ""0010"": 21, ""0100"": 67, ""0110"": 11, ""1001"": 5, ""0001"": 28, ""1100"": 2, ""0101"": 3, ""0111"": 1}","{""0000"": 1000}"
35,"{""00"": 985, ""01"": 9, ""10"": 4, ""11"": 2}","{""00"": 1000}"
36,"{""01000"": 928, ""01101"": 1, ""01110"": 5, ""01100"": 8, ""01010"": 10, ""00000"": 10, ""11000"": 23, ""11110"": 1, ""00110"": 1, ""01111"": 4, ""11010"": 7, ""10010"": 1, ""01001"": 1}","{""01000"": 1000}"
37,"{""00"": 990, ""01"": 6, ""10"": 4}","{""00"": 1000}"
38,"{""00100"": 765, ""00101"": 13, ""10100"": 100, ""00000"": 16, ""11100"": 13, ""01100"": 10, ""00011"": 14, ""10000"": 2, ""00110"": 33, ""00010"": 1, ""10011"": 10, ""10110"": 2, ""00111"": 3, ""11000"": 1, ""11101"": 4, ""00001"": 4, ""01110"": 2, ""11010"": 1, ""11011"": 3, ""01011"": 2, ""10001"": 1}","{""00100"": 1000}"
39,"{""00"": 357, ""11"": 368, ""01"": 129, ""10"": 146}","{""11"": 332, ""00"": 334, ""10"": 169, ""01"": 165}"
40,"{""1000"": 18, ""0000"": 428, ""1101"": 8, ""0100"": 485, ""0011"": 1, ""1100"": 24, ""0010"": 4, ""1001"": 4, ""0101"": 13, ""0110"": 8, ""1110"": 2, ""0001"": 4, ""1111"": 1}","{""0100"": 501, ""0000"": 499}"
41,"{""1000"": 38, ""0000"": 875, ""0100"": 33, ""1100"": 4, ""0110"": 2, ""1001"": 3, ""0001"": 14, ""0010"": 21, ""0101"": 4, ""0011"": 5, ""1010"": 1}","{""0000"": 1000}"
42,"{""100"": 383, ""000"": 578, ""001"": 6, ""010"": 9, ""011"": 9, ""101"": 6, ""110"": 6, ""111"": 3}","{""100"": 409, ""000"": 591}"
43,"{""10"": 470, ""00"": 528, ""11"": 1, ""01"": 1}","{""10"": 512, ""00"": 488}"
44,"{""11"": 951, ""10"": 22, ""00"": 20, ""01"": 7}","{""11"": 987, ""00"": 13}"
45,"{""000"": 622, ""100"": 310, ""010"": 45, ""110"": 13, ""101"": 3, ""001"": 6, ""011"": 1}","{""000"": 689, ""100"": 311}"
46,"{""0000"": 429, ""1000"": 403, ""0011"": 59, ""1100"": 2, ""1010"": 9, ""0001"": 5, ""0010"": 12, ""1011"": 72, ""0100"": 5, ""1001"": 3, ""0110"": 1}","{""0011"": 64, ""0000"": 421, ""1000"": 458, ""1011"": 57}"
47,"{""10"": 132, ""01"": 397, ""11"": 147, ""00"": 324}","{""00"": 316, ""01"": 416, ""10"": 120, ""11"": 148}"
48,"{""101"": 495, ""001"": 488, ""100"": 4, ""010"": 1, ""000"": 3, ""111"": 5, ""110"": 1, ""011"": 3}","{""101"": 471, ""001"": 529}"
49,"{""01"": 200, ""11"": 194, ""10"": 314, ""00"": 292}","{""00"": 317, ""01"": 196, ""10"": 293, ""11"": 194}"
50,"{""01000"": 22, ""00000"": 889, ""00010"": 31, ""00100"": 13, ""10000"": 10, ""00001"": 27, ""01001"": 3, ""00011"": 2, ""00101"": 1, ""10011"": 1, ""01010"": 1}","{""00000"": 995, ""10000"": 5}"
51,"{""0000"": 849, ""0001"": 47, ""0100"": 50, ""1000"": 7, ""0010"": 7, ""0101"": 12, ""1100"": 2, ""0111"": 2, ""1101"": 3, ""1010"": 4, ""0110"": 7, ""1110"": 3, ""0011"": 2, ""1111"": 1, ""1011"": 1, ""1001"": 3}","{""0000"": 1000}"
52,"{""00000"": 863, ""01000"": 47, ""00010"": 9, ""00001"": 17, ""01001"": 30, ""00011"": 15, ""10000"": 10, ""01011"": 1, ""11001"": 1, ""11000"": 2, ""00100"": 3, ""10011"": 1, ""01100"": 1}","{""00000"": 1000}"
53,"{""1111"": 68, ""0110"": 247, ""1100"": 2, ""0011"": 126, ""0111"": 274, ""1011"": 38, ""0010"": 127, ""1110"": 68, ""1010"": 26, ""0101"": 9, ""0000"": 1, ""0100"": 10, ""0001"": 3, ""1101"": 1}","{""0110"": 262, ""1111"": 68, ""1011"": 28, ""0010"": 127, ""0011"": 135, ""0111"": 268, ""1110"": 61, ""0001"": 5, ""0100"": 7, ""0000"": 4, ""1010"": 30, ""1001"": 1, ""0101"": 2, ""1101"": 1, ""1000"": 1}"
54,"{""000"": 909, ""011"": 19, ""001"": 10, ""101"": 10, ""100"": 19, ""010"": 18, ""110"": 9, ""111"": 6}","{""000"": 1000}"
55,"{""1000"": 941, ""1001"": 15, ""0000"": 10, ""1100"": 22, ""1011"": 6, ""1010"": 4, ""1110"": 2}","{""1000"": 1000}"
56,"{""1000"": 445, ""0000"": 470, ""1001"": 11, ""0001"": 12, ""1010"": 6, ""1100"": 19, ""1101"": 2, ""0100"": 22, ""0011"": 3, ""0010"": 8, ""1011"": 1, ""1111"": 1}","{""0000"": 497, ""1000"": 503}"
57,"{""000"": 915, ""100"": 41, ""011"": 7, ""001"": 14, ""010"": 10, ""101"": 3, ""111"": 2, ""110"": 8}","{""000"": 1000}"
