circuit_index,noisy_counts,ideal_counts
2033,"{""100"": 852, ""101"": 41, ""111"": 33, ""000"": 21, ""010"": 10, ""001"": 5, ""011"": 19, ""110"": 19}","{""100"": 1000}"
2035,"{""10"": 466, ""11"": 282, ""00"": 111, ""01"": 141}","{""01"": 128, ""11"": 278, ""10"": 483, ""00"": 111}"
2037,"{""000"": 234, ""110"": 459, ""100"": 238, ""111"": 13, ""011"": 11, ""010"": 16, ""101"": 4, ""001"": 25}","{""100"": 263, ""110"": 466, ""000"": 265, ""010"": 6}"
2040,"{""100"": 449, ""000"": 432, ""010"": 26, ""110"": 25, ""011"": 15, ""111"": 11, ""001"": 25, ""101"": 17}","{""000"": 502, ""100"": 498}"
2047,"{""1101"": 24, ""0100"": 647, ""0011"": 1, ""1100"": 161, ""0110"": 68, ""0101"": 22, ""0000"": 32, ""1001"": 4, ""1110"": 18, ""0111"": 6, ""0010"": 2, ""1111"": 4, ""1010"": 2, ""1000"": 8, ""0001"": 1}","{""0100"": 716, ""1100"": 209, ""1110"": 15, ""0110"": 60}"
2049,"{""00000"": 322, ""01000"": 330, ""11000"": 24, ""10101"": 11, ""11100"": 9, ""00010"": 20, ""11101"": 13, ""00101"": 22, ""01101"": 25, ""01011"": 6, ""10001"": 10, ""00100"": 15, ""10010"": 10, ""01100"": 11, ""10100"": 4, ""10000"": 28, ""11010"": 9, ""01010"": 22, ""10110"": 5, ""01110"": 5, ""00001"": 29, ""01001"": 28, ""11110"": 2, ""11001"": 6, ""00111"": 9, ""00011"": 11, ""10011"": 3, ""01111"": 8, ""11111"": 2, ""00110"": 1}","{""00000"": 501, ""01000"": 499}"
2053,"{""1100"": 46, ""0100"": 624, ""0101"": 53, ""1000"": 26, ""0000"": 115, ""0110"": 32, ""0010"": 19, ""1011"": 15, ""1010"": 13, ""1110"": 8, ""1001"": 10, ""0001"": 16, ""1101"": 18, ""0111"": 3, ""0011"": 2}","{""0100"": 879, ""1100"": 32, ""1000"": 1, ""0000"": 88}"
2059,"{""000"": 472, ""100"": 466, ""010"": 13, ""111"": 9, ""011"": 8, ""110"": 7, ""001"": 12, ""101"": 13}","{""100"": 518, ""000"": 482}"
2064,"{""0010"": 361, ""1000"": 26, ""0000"": 404, ""0111"": 10, ""0001"": 29, ""1110"": 10, ""0110"": 41, ""1100"": 12, ""1010"": 22, ""0011"": 23, ""0100"": 47, ""0101"": 8, ""1001"": 3, ""1101"": 1, ""1111"": 2, ""1011"": 1}","{""0010"": 495, ""0000"": 505}"
2071,"{""00000"": 173, ""01001"": 48, ""10000"": 395, ""00001"": 21, ""10100"": 43, ""00100"": 18, ""01011"": 12, ""11111"": 4, ""01000"": 28, ""10110"": 11, ""00010"": 24, ""11101"": 11, ""10010"": 35, ""11000"": 53, ""01101"": 16, ""00101"": 7, ""11100"": 4, ""10001"": 19, ""11001"": 30, ""11011"": 4, ""01110"": 2, ""01111"": 5, ""11010"": 9, ""00011"": 3, ""00110"": 4, ""01100"": 6, ""10111"": 4, ""00111"": 3, ""11110"": 4, ""01010"": 2, ""10101"": 2}","{""10000"": 737, ""00000"": 263}"
